Sample,Condition,Months,Start,End,Low RIOR D1-D5,High RIOR D1-D5,Interaction,Interaction SE,Interaction t-stat,High Dur RIOR1-RIOR5,Avg RF,Avg HML
Post-2014 Table 10 window,Calendar,120,2015-07,2025-06,0.005632652854785601,0.0035878638060846003,0.002044789048700999,0.0055442937421382385,0.36880965255502424,-0.001153162093744346,0.0015708333333333334,-0.0012324999999999999
Post-2014 pre-Covid,Calendar,54,2015-07,2019-12,0.005802997675399494,-0.009374005569868357,0.015177003245267853,0.0051363717245819845,2.9548101381823195,-0.008340549735493375,0.0009111111111111111,-0.0027111111111111103
Covid/ZLB rebound,Calendar,24,2020-01,2021-12,0.004537924837678928,0.02518603999510642,-0.020648115157427493,0.021270726551785243,-0.9707291900517853,0.014216943019446052,0.00019166666666666667,-0.005633333333333333
Rate-hike and AI-boom years,Calendar,42,2022-01,2025-06,0.006039196952342981,0.007911309467154501,-0.0018721125148115224,0.007284828238034495,-0.2569878731027752,-0.0006951523333186813,0.0032071428571428568,0.003183333333333332
"Post-2014 Table 10, growth beats value",HML < 0,70,2015-07,2025-06,-0.013398497844696489,-0.018968942074587145,0.005570444229890655,0.006887177716672556,0.8088137781613595,0.002514703336496334,0.0015414285714285714,-0.02546285714285714
"Post-2014 Table 10, value beats growth",HML >= 0,50,2015-08,2025-03,0.03227626383406053,0.03516739203902504,-0.002891128204964516,0.009208801441093501,-0.3139527139832878,-0.0062881736960813,0.0016119999999999997,0.032690000000000004
